year,gdp_per_capita,gdp_per_capita_defl,cty_code
1995,226.56,148.66142,7880
1996,277.98,177.17018,7880
1997,239.42,149.17134,7880
1998,244.99,150.30061,7880
1999,236.74,142.10085,7880
2000,239.56,139.11731,7880
2001,271.85,153.50084,7880
2002,256.48,142.5681,7880
2003,310.4,168.69565,7880
2004,240.64,127.39016,7880
2005,270.27,138.38708,7880
2006,287.87,142.79266,7880
2007,373.05,179.92012,7880
2008,465.64,216.27196,7880
2009,412.06,192.06943,7880
2010,410.01,188.02968,7880
2011,453.12,201.44128,7880
2012,451.48,196.64278,7880
1989,2187.39,1764.0242,7850
1990,2388.52,1827.4829,7850
1991,2817.5,2068.6492,7850
1992,2932.98,2090.5061,7850
1993,3296.99,2281.6538,7850
1994,3281.7,2214.3726,7850
1995,3747.47,2458.97,7850
1996,3888.58,2478.3813,7850
1997,3936.54,2452.6729,7850
1998,3789.75,2325,7850
1999,3785.55,2272.2388,7850
2000,3929.09,2281.7014,7850
2001,3845.08,2171.135,7850
2002,4000.44,2223.7021,7850
2003,4756.71,2585.1685,7850
2004,5333.97,2823.7004,7850
2005,5219.17,2672.386,7850
2006,5373.64,2665.4961,7850
2007,6160.41,2971.1345,7850
2008,7598.25,3529.0964,7850
2009,6913.69,3222.6096,7850
2010,7562.4,3468.0999,7850
2011,8725.27,3878.9497,7850
2012,8850.17,3854.7046,7850
1989,2662.24,2146.9678,7910
1990,3039.44,2325.509,7910
1991,3192.05,2343.6492,7910
1992,3389.85,2416.144,7910
1993,3315.64,2294.5605,7910
1994,3382.24,2282.2131,7910
1995,3684.84,2417.874,7910
1996,3439.25,2192.0015,7910
1997,3495.07,2177.6138,7910
1998,3100.05,1901.8712,7910
1999,3029.06,1818.1632,7910
2000,2986.51,1734.3264,7910
2001,2632.86,1486.6516,7910
2002,2445.22,1359.2107,7910
2003,3656.12,1987.0217,7910
2004,4722.68,2500.0955,7910
2005,5266.81,2696.7793,7910
2006,5511.09,2733.6755,7910
2007,5851.56,2822.1777,7910
2008,5544.53,2575.2219,7910
2009,5732.84,2672.1917,7910
2010,7244.72,3322.4124,7910
2011,7971.62,3543.9031,7910
2012,7525.39,3277.6946,7910
1989,22878.98,18450.791,1000
1990,23913.66,18296.604,1000
1991,24365.53,17889.523,1000
1992,25466.73,18151.625,1000
1993,26441.65,18298.719,1000
1994,27755.48,18728.395,1000
1995,28762.68,18873.15,1000
1996,30047.22,19150.557,1000
1997,31553.44,19659.465,1000
1998,32928.95,20201.811,1000
1999,34619.9,20780.252,1000
2000,36450.14,21167.328,1000
2001,37253.44,21035.256,1000
2002,38123.18,21191.318,1000
2003,39597.37,21520.309,1000
2004,41845.61,22152.256,1000
2005,44224.13,22644.203,1000
2006,46358.36,22995.219,1000
2007,47963.56,23132.582,1000
2008,48307.78,22437.115,1000
2009,46906.9,21864.248,1000
2010,48294.19,22147.607,1000
2011,49796.95,22137.98,1000
2012,51703.95,22519.73,1000
1989,20828.27,16796.992,1220
1990,21518.68,16464.178,1220
1991,21809.72,16013.011,1220
1992,20877.26,14880.442,1220
1993,20074.52,13892.401,1220
1994,19888.86,13420.283,1220
1995,20572.16,13498.793,1220
1996,21202.83,13513.596,1220
1997,21795.99,13580.056,1220
1998,20961.72,12859.951,1220
1999,22205.35,13328.541,1220
2000,24127.69,14011.435,1220
2001,23658.81,13359.012,1220
2002,24037.51,13361.596,1220
2003,28094.78,15268.902,1220
2004,31923.94,16899.916,1220
2005,36149.39,18509.672,1220
2006,40290.98,19985.605,1220
2007,44336.26,21383.154,1220
2008,46372.5,21538.252,1220
2009,40709.04,18975.301,1220
2010,47367.38,21722.574,1220
2011,51645.22,22959.656,1220
2012,52299.76,22779.236,1220
1989,3096.75,2497.3789,2010
1990,3586.12,2743.7798,2010
1991,4219.65,3098.1277,2010
1992,4804.19,3424.2266,2010
1993,5801.94,4015.1833,2010
1994,5964.93,4024.9189,2010
1995,3810.38,2500.2495,2010
1996,4339.67,2765.8828,2010
1997,5175.12,3224.3738,2010
1998,5332.32,3271.3621,2010
1999,6072.74,3645.1021,2010
2000,7063.98,4102.1953,2010
2001,7354.31,4152.6313,2010
2002,7436.01,4133.4131,2010
2003,7079.74,3847.6848,2010
2004,7519.94,3980.9106,2010
2005,8366.99,4284.1729,2010
2006,9166.16,4546.7061,2010
2007,9736.17,4695.7056,2010
2008,10111.47,4696.3906,2010
2009,8085.2,3768.6738,2010
2010,9158.24,4199.9482,2010
2011,10033.52,4460.5518,2010
2012,10058.5,4380.9946,2010
1989,25517.921875,20578.969,2320
1990,26841.51953125,20536.742,2320
1991,27700.30859375,20337.965,2320
1992,28669.681640625,20434.557,2320
1993,30900.6953125,21384.563,2320
1994,31476.0625,21238.908,2320
1995,33989.72265625,22302.969,2320
1996,44826.7890625,28570.295,2320
1997,48478.8828125,30204.91,2320
1998,51371.7421875,31516.406,2320
1999,54245.4609375,32560.301,2320
2000,56284.16796875,32685.348,2320
2001,58883.9609375,33248.988,2320
2002,62583.1015625,34787.719,2320
2003,66111.7265625,35930.285,2320
2004,70359.3203125,37246.863,2320
2005,75882.03125,38854.086,2320
2006,83912.6953125,41623.359,2320
2007,90849.5859375,43816.297,2320
2008,93605.75,43476.289,2320
2009,88463.3125,41234.523,2320
2010,88207.328125,40451.684,2320
2011,85973.15625,38220.656,2320
2012,85458.453125,37221.555,2320
1989,1012.37,816.42743,2050
1990,860.29,658.21735,2050
1991,1034.15,759.28784,2050
1992,1112.25,792.7655,2050
1993,1181.1,817.37024,2050
1994,1301.69,878.33331,2050
1995,1425.39,935.29535,2050
1996,1480.48,943.58197,2050
1997,1633.57,1017.8006,2050
1998,1711.32,1049.8895,2050
1999,1588.07,953.22327,2050
2000,1530.34,888.69916,2050
2001,1625.48,917.83173,2050
2002,1761.78,979.31079,2050
2003,1812.72,985.17389,2050
2004,1933.15,1023.3722,2050
2005,2140.94,1096.2314,2050
2006,2320.3,1150.9424,2050
2007,2554.52,1232.0321,2050
2008,2859.65,1328.198,2050
2009,2690.09,1253.9049,2050
2010,2875.31,1318.6107,2050
2011,3236.13,1438.6702,2050
2012,3325.68,1448.5048,2050
1989,1293.51,1043.1532,2150
1990,741.75,567.52106,2150
1991,726.06,533.08368,2150
1992,787.39,561.21881,2150
1993,786.22,544.09686,2150
1994,750.35,506.30905,2150
1995,844.87,554.37665,2150
1996,850.5,542.06506,2150
1997,961.24,598.90344,2150
1998,1049.81,644.05524,2150
1999,1059.55,635.98438,2150
2000,1152.64,669.36121,2150
2001,1195.55,675.07056,2150
2002,1203.48,668.97168,2150
2003,1235.05,671.22284,2150
2004,1304.47,690.56116,2150
2005,1408.11,720.99841,2150
2006,1545.94,766.83533,2150
2007,1715.99,827.61328,2150
2008,1889.8,877.73981,2150
2009,1946.04,907.08826,2150
2010,2071.08,949.79266,2150
2011,2269.51,1008.9447,2150
2012,2331.15,1015.3358,2150
1989,576.13,464.62097,2110
1990,861.29,658.98242,2110
1991,946.29,694.77972,2110
1992,1053.71,751.04065,2110
1993,1219.29,843.79926,2110
1994,1411.23,952.24695,2110
1995,1646.81,1080.584,2110
1996,1775.82,1131.8165,2110
1997,1903.71,1186.1122,2110
1998,2039.01,1250.9264,2110
1999,2101.97,1261.6866,2110
2000,2203.71,1279.7386,2110
2001,2305.96,1302.0667,2110
2002,2380.48,1323.2241,2110
2003,2495.31,1356.1467,2110
2004,2611.29,1382.3663,2110
2005,2816.11,1441.9406,2110
2006,3041.1,1508.4822,2110
2007,3285.11,1584.392,2110
2008,3484.72,1618.519,2110
2009,3343.2,1558.3326,2110
2010,3443.46,1579.1631,2110
2011,3696.33,1643.2589,2110
2012,3788,1649.8689,2110
2000,4185.26,2430.4646,2230
2001,4198.78,2370.8525,2230
2002,4213.35,2342.0513,2230
2003,4284.31,2328.4292,2230
2004,4449.97,2355.728,2230
2005,4679.81,2396.2161,2230
2006,5173.93,2566.4336,2230
2007,5924.24,2857.231,2230
2008,6582.14,3057.1521,2230
2009,6359.23,2964.1648,2230
2010,7956.52,3648.8423,2230
2011,8891.780000000001,3952.9741,2230
2012,9665.030000000001,4209.6182,2230
1989,15936.54,12852.048,2360
1990,14944.42,11434.14,2360
1991,14605.83,10723.811,2360
1992,14064.78,10024.79,2360
1993,13654.5,9449.4805,2360
1994,14255.06,9618.7988,2360
1995,14599.05,9579.4297,2360
1996,15163.1,9664.1816,2360
1997,17205.5,10719.938,2360
1998,18246.6,11194.233,2360
1999,20202.51,12126.356,2360
2000,20894.31,12133.746,2360
2001,21200.7,11971.033,2360
2002,22310.51,12401.618,2360
2003,21970.8,11940.652,2360
2004,22124.06,11712.049,2360
2005,23714.44,12142.57,2360
2006,24215.2,12011.508,2360
2007,24987.84,12051.509,2360
2008,24481.89,11370.901,2360
2009,22952.5,10698.621,2360
2010,22895.42,10499.788,2360
2011,22598.04,10046.298,2360
2012,23133.16,10075.682,2360
1989,1277.82,1030.5,2470
1990,1166.21,892.28009,2470
1991,1404.34,1031.0867,2470
1992,1611.67,1148.7313,2470
1993,1768.14,1223.6262,2470
1994,1898.15,1280.803,2470
1995,2052.67,1346.8964,2470
1996,2210.62,1408.9357,2470
1997,2455.39,1529.838,2470
1998,2564.03,1573.0245,2470
1999,2641.34,1585.4381,2470
2000,2862.8,1662.4855,2470
2001,2914.3,1645.5675,2470
2002,2909.36,1617.2096,2470
2003,2318.37,1259.9836,2470
2004,2430.18,1286.4902,2470
2005,3712.24,1900.7885,2470
2006,3879.11,1924.1616,2470
2007,4378.36,2111.6609,2470
2008,4776.56,2218.5293,2470
2009,4815.83,2244.7549,2470
2010,5233.14,2399.9063,2470
2011,5535.34,2460.8184,2470
2012,5766.16,2511.4595,2470
1989,8028.81,6474.8467,2720
1990,8052.45,6161.0181,2720
1991,8086.23,5937.0264,2720
1992,7787.82,5550.834,2720
1993,8256.389999999999,5713.7646,2720
1994,8142.83,5494.4873,2720
1995,8557.299999999999,5615.0264,2720
1996,9130.950000000001,5819.5991,2720
1997,9593.57,5977.3022,2720
1998,10770.99,6607.9692,2720
1999,11270.19,6764.8198,2720
2000,11592.36,6731.9165,2720
2001,11531.58,6511.3379,2720
2002,11700.86,6504.0913,2720
2003,12044.27,6545.7988,2720
2004,12870.2,6813.2349,2720
2005,14233.78,7288.1616,2720
2006,15744.71,7809.876,2720
2007,16429.74,7923.9805,2720
2008,16496.73,7662.0996,2720
2009,16645.99,7759.0298,2720
2010,16029.8,7351.2305,2720
2011,15756.13,7004.624,2720
2012,15198.72,6619.8247,2720
2000,6459.57,3751.2021,2740
2001,6966.27,3933.5234,2740
2002,7061.43,3925.1975,2740
2003,8815.540000000001,4791.0542,2740
2004,10289.65,5447.1416,2740
2005,12346.44,6321.7817,2740
2006,14152.47,7020.0742,2740
2007,16607.11,8009.5249,2740
2008,21297.87,9892.0459,2740
2009,14636.35,6822.2964,2740
2010,15627.65,7166.8052,2740
2011,17822.6,7923.3042,2740
2012,19373.22,8438.0342,2740
1994,17342.47265625,11702.073,2779
1995,16441.380859375,10788.309,2779
1996,16586.19140625,10571.188,2779
1997,17927.412109375,11169.727,2779
1998,19081.5703125,11706.485,2779
1999,19356.419921875,11618.499,2779
2000,20619.56640625,11974.196,2779
2001,20671.544921875,11672.244,2779
2002,20433.654296875,11358.341,2779
2003,20834.939453125,11323.337,2779
2004,22566.681640625,11946.364,2779
2005,23302.83203125,11931.813,2779
2006,24015.419921875,11912.41,2779
2007,25921.5390625,12501.827,2779
2008,27549.888671875,12795.869,2779
2009,24640.421875,11485.395,2779
2010,24289.140625,11138.945,2779
2011,25353.787109375,11271.406,2779
1989,1641.85,1324.0725,3010
1990,1638.97,1253.9939,3010
1991,1644.09,1207.1145,3010
1992,1926.1,1372.8439,3010
1993,2140.21,1481.1141,3010
1994,2642.68,1783.1849,3010
1995,2942.08,1930.4988,3010
1996,3134.98,1998.0753,3010
1997,2906.21,1810.7228,3010
1998,2770.85,1699.908,3010
1999,2429.31,1458.1693,3010
2000,2479.97,1440.1685,3010
2001,2406.64,1358.9159,3010
2002,2366.9,1315.6754,3010
2003,2262.95,1229.8641,3010
2004,2803.95,1484.3568,3010
2005,3417.82,1750.0358,3010
2006,3702.09,1836.3541,3010
2007,4793.63,2311.9436,3010
2008,5292.55,2458.187,3010
2009,5149.15,2400.1221,3010
2010,6273.01,2876.7883,3010
2011,7182.36,3193.0259,3010
2012,7919.17,3449.2061,3010
1989,2378.22,1917.9193,3070
1990,2493.01,1907.4293,3070
1991,2685.37,1971.6373,3070
1992,2968.58,2115.8804,3070
1993,2876.16,1990.4221,3070
1994,2742.05,1850.2362,3070
1995,3559.87,2335.8728,3070
1996,3174.72,2023.4036,3070
1997,3785.32,2358.4548,3070
1998,3948.84,2422.6013,3070
1999,4152.69,2492.6111,3070
2000,4868.85,2827.439,3070
2001,5008.44,2828.0293,3070
2002,3712.94,2063.8911,3070
2003,3274.42,1779.576,3070
2004,4327.25,2290.7625,3070
2005,5495.23,2813.7378,3070
2006,6837.15,3391.4434,3070
2007,8443.26,4072.1416,3070
2008,11379.94,5285.5464,3070
2009,11688.78,5448.375,3070
2010,10324.06,4734.5908,3070
2011,10886.05,4839.5566,3070
2012,12917.52,5626.2446,3070
1989,1220.13,983.97577,3310
1990,1210.42,926.10565,3310
1991,1327.52,974.68433,3310
1992,1419.45,1011.7249,3310
1993,1622.85,1123.0796,3310
1994,1917.41,1293.799,3310
1995,2043.34,1340.7743,3310
1996,2101.9,1339.6432,3310
1997,2324.87,1448.5171,3310
1998,2329.65,1429.2332,3310
1999,1649.6,990.15607,3310
2000,1508.31,875.90594,3310
2001,1971.96,1113.4727,3310
2002,2254.87,1253.402,3310
2003,2525.33,1372.4619,3310
2004,2808.91,1486.9825,3310
2005,3140.91,1608.2488,3310
2006,3490.61,1731.4534,3310
2007,3749.19,1808.2153,3310
2008,4473.93,2077.9692,3310
2009,4464.1,2080.8066,3310
2010,4752.81,2179.6282,3310
2011,5324.55,2367.1086,3310
2012,5742.65,2501.2197,3310
1989,1952.82,1574.8549,3330
1990,1331.72,1018.9136,3330
1991,1557.49,1143.5316,3330
1992,1599.87,1140.3208,3330
1993,1542.74,1067.6401,3330
1994,1956.72,1320.3239,3330
1995,2302.93,1511.109,3330
1996,2361.12,1504.8567,3330
1997,2459.8,1532.5857,3330
1998,2324.91,1426.3252,3330
1999,2078,1247.299,3330
2000,2116.95,1229.3553,3330
2001,2107.94,1190.254,3330
2002,2184.22,1214.1301,3330
2003,2324.51,1263.3207,3330
2004,2600.53,1376.6703,3330
2005,2916.68,1493.4357,3330
2006,3340.24,1656.8651,3330
2007,3800.44,1832.933,3330
2008,4427.11,2056.2231,3330
2009,4362.46,2033.4302,3330
2010,5204.83,2386.9233,3330
2011,5943.85,2642.4277,3330
2012,6525.36,2842.1301,3330
1989,3058.46,2466.5,3510
1990,3113.03,2381.8135,3510
1991,2683.78,1970.47,3510
1992,2529.35,1802.8154,3510
1993,2793.36,1933.1211,3510
1994,3428.43,2313.3806,3510
1995,4755.95,3120.7021,3510
1996,5111.6,3257.8716,3510
1997,5222.8,3254.0811,3510
1998,4982.75,3056.9019,3510
1999,3413.6,2048.9795,3510
2000,3696.33,2146.5332,3510
2001,3133.16,1769.1473,3510
2002,2822.49,1568.9218,3510
2003,3041.2,1652.826,3510
2004,3609.73,1910.9211,3510
2005,4742.5,2428.3154,3510
2006,5795.2,2874.603,3510
2007,7201.62,3473.3049,3510
2008,8632.719999999999,4009.5681,3510
2009,8395.030000000001,3913.0918,3510
2010,10992.27,5041.0303,3510
2011,12583.64,5594.2456,3510
2012,11358.54,4947.2285,3510
1989,2327.48,1877,3370
1990,2545.46,1947.5594,3370
1991,2876.74,2112.144,3370
1992,3442.28,2453.5139,3370
1993,3618.89,2504.4221,3370
1994,4103.67,2769.0081,3370
1995,5199.27,3411.5947,3370
1996,5322.6,3392.3521,3370
1997,5734.23,3572.729,3370
1998,5437.33,3335.7854,3370
1999,4951.66,2972.1848,3370
2000,5065.26,2941.4983,3370
2001,4578.24,2585.1157,3370
2002,4452.59,2475.0364,3370
2003,4780.29,2597.9836,3370
2004,6169.16,3265.834,3370
2005,7565.31,3873.6865,3370
2006,9414.66,4669.9702,3370
2007,10426.27,5028.5371,3370
2008,10709.21,4974.0181,3370
2009,10166.62,4738.8657,3370
2010,12712.54,5829.9424,3370
2011,14551.69,6469.1719,3370
2012,15410.12,6711.9004,3370
1989,739.11,596.05646,3350
1990,747.26,571.73682,3350
1991,803.53,589.96332,3350
1992,831.26,592.48755,3350
1993,821.25,568.33905,3350
1994,831.23,560.88397,3350
1995,907.17,595.25592,3350
1996,970.52,618.55963,3350
1997,1012.97,631.13397,3350
1998,1056.03,647.87115,3350
1999,1004.4,602.88116,3350
2000,994.88,577.74683,3350
2001,945.61,533.94128,3350
2002,897.29,498.77158,3350
2003,896.64,487.30435,3350
2004,952.12,504.03391,3350
2005,1015.48,519.95905,3350
2006,1196.61,593.55652,3350
2007,1344.81,648.59503,3350
2008,1674.59,777.78296,3350
2009,1707.62,795.95593,3350
2010,1897.73,870.29474,3350
2011,2269.35,1008.8736,3350
2012,2514.32,1095.1157,3350
1989,2868.56,2313.3547,3550
1990,3319.18,2539.541,3550
1991,3976.87,2919.8752,3550
1992,4542.97,3238.04,3550
1993,5260.67,3640.6021,3550
1994,6070.22,4095.9648,3550
1995,6661.87,4371.3062,3550
1996,7038.55,4486.0107,3550
1997,7362.67,4587.3335,3550
1998,7756.84,4758.7974,3550
1999,7295.82,4379.2437,3550
2000,6917.14,4016.9221,3550
2001,6319.55,3568.3511,3550
2002,4120.39,2290.3782,3550
2003,3652.77,1985.201,3550
2004,4151.89,2197.9302,3550
2005,5263.1,2694.8796,3550
2006,5919.56,2936.2896,3550
2007,7058.13,3404.1003,3550
2008,9107.889999999999,4230.2661,3550
2009,9037.379999999999,4212.5039,3550
2010,11573.14,5307.416,3550
2011,13784.56,6128.1328,3550
2012,14766.83,6431.7144,3550
1989,2584.99,2084.6694,3570
1990,4379.5,3350.8035,3570
1991,5796.41,4255.8076,3570
1992,6900.12,4918.1182,3570
1993,7028.62,4864.0967,3570
1994,7576.83,5112.5708,3570
1995,7531.45,4941.8965,3570
1996,7862.15,5010.9307,3570
1997,8381.06,5221.8442,3570
1998,8478.200000000001,5201.3496,3570
1999,7970.2,4784.0337,3570
2000,7917.15,4597.6479,3570
2001,7417.62,4188.3794,3570
2002,2656.23,1476.5037,3570
2003,3439.37,1869.2228,3570
2004,4048.33,2143.1074,3570
2005,4781.86,2448.469,3570
2006,5540.64,2748.3333,3570
2007,6705.04,3233.8069,3570
2008,8270.209999999999,3841.196,3570
2009,7707.99,3592.8489,3570
2010,9162.209999999999,4201.769,3570
2011,10958.9,4871.9434,3570
2012,11582.48,5044.7661,3570
1989,7858.91,6337.8306,4910
1990,9428.030000000001,7213.4893,4910
1991,9476.93,6958.0986,4910
1992,11064.83,7886.5503,4910
1993,10322.07,7143.3008,4910
1994,11398.57,7691.3428,4910
1995,14011.84,9194.1211,4910
1996,13922.15,8873.2637,4910
1997,13056.25,8134.7349,4910
1998,13829.8,8484.54,4910
1999,13996.55,8401.29,4910
2000,13185.64,7657.166,4910
2001,13615.2,7687.8599,4910
2002,14676.35,8158.0605,4910
2003,18226.81,9905.875,4910
2004,21360.22,11307.687,4910
2005,22742.03,11644.664,4910
2006,24305.65,12056.374,4910
2007,28039.01,13523.072,4910
2008,31685.54,14716.721,4910
2009,28657.35,13357.766,4910
2010,27501.53,12612.141,4910
2011,29021.34,12901.872,4910
2012,26388.99,11493.764,4910
1989,970.71,782.83063,5040
1990,1002.87,767.30688,5040
1991,1493.42,1096.4905,5040
1992,1824.04,1300.0997,5040
1993,2429.69,1681.4463,5040
1994,2879.79,1943.1781,5040
1995,3445.97,2261.1353,5040
1996,3949.24,2517.043,5040
1997,4690.27,2922.2866,5040
1998,5049.34,3097.7546,5040
1999,4983.55,2991.3264,5040
2000,4841.67,2811.655,5040
2001,4874.85,2752.5974,5040
2002,5220.71,2902.0068,5040
2003,5330.28,2896.8914,5040
2004,5712.84,3024.2668,5040
2005,5713.2,2925.3455,5040
2006,5903.09,2928.1199,5040
2007,6639.5,3202.1973,5040
2008,7795.33,3620.6326,5040
2009,8982.83,4187.0771,5040
2010,9500.76,4357.0273,5040
2011,9856.02,4381.6416,5040
2012,10310.65,4490.8188,5040
1989,800.86,645.85486,5020
1990,967.15,739.97711,5020
1991,972.18,713.78857,5020
1992,983.58,701.05487,5020
1993,995.06,688.6228,5020
1994,1060.71,715.72876,5020
1995,1133.16,743.54333,5020
1996,1186.16,755.9975,5020
1997,1080.81,673.40186,5020
1998,1028.17,630.77911,5020
1999,1043.17,626.15247,5020
2000,1202.89,698.54242,5020
2001,1236.9,698.41895,5020
2002,1305.09,725.45306,5020
2003,1208.89,657.00543,5020
2004,1361.5,720.75177,5020
2005,1510.39,773.36914,5020
2006,1726.03,856.16565,5020
2007,2016.05,972.33069,5020
2008,2557.21,1187.7262,5020
2009,2557.27,1191.9949,5020
2010,2806.69,1287.1417,5020
1989,11271.15,9089.6367,5081
1990,12957.64,9914.0332,5081
1991,14247.65,10460.83,5081
1992,15373.02,10957.249,5081
1993,14897.07,10309.391,5081
1994,16418.21,11078.414,5081
1995,18890.55,12395.375,5081
1996,20120.06,12823.493,5081
1997,20186.9,12577.508,5081
1998,19911.59,12215.699,5081
1999,19576.84,11750.805,5081
2000,21514.03,12493.63,5081
2001,20761.78,11723.195,5081
2002,18806.43,10453.825,5081
2003,19413.38,10550.75,5081
2004,20302.71,10747.861,5081
2005,20984.22,10744.608,5081
2006,22339.21,11080.957,5081
2007,25330.42,12216.733,5081
2008,30190.17,14022.179,5081
2009,28523.42,13295.338,5081
2010,31420.31,14409.284,5081
2011,34264.73,15232.899,5081
2012,33432.68,14561.652,5081
1989,1352.56,1090.7742,5110
1990,1199.71,917.91132,5110
1991,1174.02,861.98236,5110
1992,1396.77,995.55951,5110
1993,1385.33,958.70587,5110
1994,1497.16,1010.2294,5110
1995,1578.45,1035.7284,5110
1996,1580.73,1007.4762,5110
1997,1608.13,1001.9501,5110
1998,1711.51,1050.0061,5110
1999,1719.95,1032.3829,5110
2000,1741.93,1011.5737,5110
2001,1802.99,1018.0632,5110
2002,1879.65,1044.8306,5110
2003,1949.46,1059.4891,5110
2004,2132.97,1129.1531,5110
2005,2300.14,1177.7471,5110
2006,2688.74,1333.7003,5110
2007,2989.8,1441.9655,5110
2008,3757.37,1745.1545,5110
2009,3986.56,1858.2156,5110
2010,4326.38,1984.0682,5110
2011,4618.45,2053.2012,5110
2012,4878.78,2124.9597,5110
1989,20478.53,16514.943,5200
1990,26621.51,20368.41,5200
1991,25847.41,18977.541,5200
1992,25960.97,18503.898,5200
1993,25654.37,17753.889,5200
1994,25762.53,17383.623,5200
1995,26394.42,17319.174,5200
1996,29058.86,18520.625,5200
1997,29535.55,18402.211,5200
1998,25897.65,15888.129,5200
1999,27321.04,16399.184,5200
2000,34688.98,20144.588,5200
2001,32621.29,18419.701,5200
2002,32790.71,18227.188,5200
2003,35017.31,19031.146,5200
2004,39304.51,20807.047,5200
2005,43988.56,22523.584,5200
2006,44283.3,21965.922,5200
2007,41472.29,20001.875,5200
2008,39074.84,18148.768,5200
2009,31073.63,14484.042,5200
2010,34778.05,15949.136,5200
2011,40951.45,18205.582,5200
2012,43773.84,19065.76,5200
1989,448.8,361.93549,5350
1990,482.94,369.50269,5350
1991,538.43,395.32306,5350
1992,559.83,399.02353,5350
1993,577.75,399.82697,5350
1994,571.1,385.35764,5350
1995,646.24,424.04202,5350
1996,662.3200000000001,422.12878,5350
1997,638.9500000000001,398.09967,5350
1998,619.93,380.32516,5350
1999,578.8,347.41898,5350
2000,580.61,337.17191,5350
2001,559.6,315.97968,5350
2002,545.84,303.41302,5350
2003,611.96,332.58694,5350
2004,706.3200000000001,373.91214,5350
2005,777.54,398.12595,5350
2006,883.48,438.23413,5350
2007,963.9,464.88409,5350
2008,1039.69,482.89621,5350
2009,1009.31,470.45963,5350
2010,1034.31,474.33224,5350
2011,1219.16,541.99585,5350
2012,1260.74,549.11713,5350
1989,362.17,292.07257,5330
1990,386.19,295.47821,5330
1991,318.63,233.94273,5330
1992,333.21,237.49821,5330
1993,315.95,218.65051,5330
1994,363.03,244.95952,5330
1995,391.99,257.2113,5330
1996,419.31,267.24667,5330
1997,435.42,271.2897,5330
1998,432.83,265.53989,5330
1999,459.82,276.00241,5330
2000,461.11,267.77585,5330
2001,470.17,265.48279,5330
2002,491.24,273.06284,5330
2003,572.13,310.94022,5330
2004,657.52,348.07837,5330
2005,748.85,383.43573,5330
2006,839.93,416.63193,5330
2007,1080.7,521.21613,5330
2008,1052.67,488.92493,5330
2009,1158.91,540.19122,5330
2010,1432.25,656.82666,5330
2011,1546.55,687.54199,5330
2012,1500.76,653.6582,5330
1989,280.06,225.85484,5380
1990,283.99,217.28387,5380
1991,285.92,209.92657,5380
1992,279.63,199.30862,5380
1993,286.81,198.48442,5380
1994,305.04,205.82996,5380
1995,330.19,216.66011,5380
1996,339.18,216.17592,5380
1997,347.26,216.36137,5380
1998,351.1,215.39877,5380
1999,358.01,214.89195,5380
2000,355.39,206.38211,5380
2001,350.29,197.79221,5380
2002,361.73,201.07283,5380
2003,391.39,212.71196,5380
2004,418.59,221.59344,5380
2005,427.06,218.6687,5380
2006,450.09,223.25893,5380
2007,505.05,243.58305,5380
2008,570.8,265.11475,5380
2009,634.59,295.79514,5380
2010,702.83,322.31628,5380
2011,747.12,332.1434,5380
2012,797.16,347.20419,5380
1989,448.79,361.92743,5420
1990,508.57,389.11249,5420
1991,550.72,404.34656,5420
1992,587.1900000000001,418.5246,5420
1993,619.59,428.78198,5420
1994,704.26,475.20917,5420
1995,740.01,485.57089,5420
1996,801.89,511.08353,5420
1997,882.96,550.13086,5420
1998,897.88,550.84662,5420
1999,889.31,533.7995,5420
2000,916.55,532.25897,5420
2001,868.08,490.16373,5420
2002,900.33,500.4614,5420
2003,982.33,533.875,5420
2004,1063.04,562.75281,5420
2005,1244.6,637.27594,5420
2006,1429.94,709.29559,5420
2007,1624.18,783.3338,5420
2008,2027.4,941.64972,5420
2009,2076.81,968.04279,5420
2010,2428.87,1113.8744,5420
2011,2880.34,1280.4983,5420
2012,2875.8,1252.559,5420
1989,214.06,172.62903,5360
1990,215.02,164.51416,5360
1991,229.48,168.48752,5360
1992,203.25,144.86813,5360
1993,212.69,147.19031,5360
1994,216.47,146.06613,5360
1995,229.06,150.30185,5360
1996,230.2,146.71767,5360
1997,244.09,152.08099,5360
1998,236.91,145.34355,5360
1999,238.15,142.94717,5360
2000,247.18,143.54239,5360
2001,249.03,140.61546,5360
2002,247.93,137.81546,5360
2003,258.01,140.22282,5360
2004,291.87,154.51033,5360
2005,323.42,165.60164,5360
2006,352.8,175,5360
2007,397.87,191.89069,5360
2008,477.93,221.98019,5360
2009,484.27,225.72797,5360
2010,596.06,273.35178,5360
2011,704.17,313.04932,5360
2012,690.04,300.54794,5360
1989,1306.77,1053.8468,5490
1990,1521.05,1163.7721,5490
1991,1688.66,1239.8385,5490
1992,1893.55,1349.6437,5490
1993,2087.83,1444.865,5490
1994,2441.95,1647.7395,5490
1995,2825.72,1854.1471,5490
1996,3026.6,1928.9995,5490
1997,2481.11,1545.8629,5490
1998,1819.86,1116.4785,5490
1999,1988.75,1193.7275,5490
2000,1983.32,1151.7538,5490
2001,1835.78,1036.5782,5490
2002,1999.3,1111.3397,5490
2003,2228.26,1211.0109,5490
2004,2479.03,1312.3505,5490
2005,2707.51,1386.3337,5490
2006,3172.3,1573.5615,5490
2007,3756.87,1811.9194,5490
2008,4110,1908.9377,5490
2009,3943.07,1837.9441,5490
2010,4740.33,2173.9048,5490
